"id","classification","pseudo","#unique peptides","M1601","F38","ILRI181","Ckid","PG50","s_990145","s_95010","AAlength","start","stop","Frame","Begin","End","Length","length.AA"
"48","MCCP01v2_0048",2,"yes",NA,100,100,99.44,91.88,31.14,46.67,45.21,181,17740,17921,-2,58952,59494,543,181
"49","MCCP01v2_0049",2,"yes",NA,100,100,100,96,94,95,90,102,17921,18023,-1,59781,60086,306,102
"50","MCCP01v2_0050",4,"no",35,99.68,100,99.79,99.58,99.36,99.36,95.03,945,18023,18968,-3,61237,64071,2835,945
"51","MCCP01v2_0051",3,"no",NA,100,100,100,98.43,96.86,96.86,78.42,192,18968,19160,3,64152,64727,576,192
"52","MCCP01v2_0052",3,"no",10,100,100,100,98.68,98.68,98.68,85.62,305,19160,19465,2,64823,65737,915,305
"53","MCCP01v2_0053",1,"no",2,99.67,99.89,99.78,28.4,98,98.25,19.87,898,19465,20363,1,65887,68580,2694,898
"54","MCCP01v2_0054",1,"no",1,99.2,99.73,99.46,23.74,38.12,38.12,35.71,374,20363,20737,2,68582,69703,1122,374
"55","MCCP01v2_0055",1,"yes",NA,100,99.66,98.99,36.67,27.27,27.27,27.27,298,20737,21035,2,69851,70744,894,298
"56","MCCP01v2_0056",1,"yes",NA,100,100,100,42.31,31.91,31.91,42.31,106,21035,21141,2,70985,71302,318,106
"57","MCCP01v2_0057",1,"yes",NA,100,99.74,99.47,32.31,27.66,27.66,36.59,387,21141,21528,3,71310,72470,1161,387
"58","MCCP01v2_0058",1,"yes",NA,100,100,100,33.33,33.33,33.33,33.33,109,21528,21637,2,72578,72904,327,109
"59","MCCP01v2_0059",1,"yes",NA,100,38.1,38.1,38.1,38.1,38.1,47.83,50,21637,21687,-1,72972,73121,150,50
"60","MCCP01v2_0060",1,"yes",NA,99.42,100,99.56,34.04,37.04,37.04,27.66,228,21687,21915,-2,73208,73891,684,228
"61","MCCP01v2_0061",1,"no",NA,98.77,99.38,98.14,41.67,37.25,37.25,40,163,21915,22078,-3,73843,74331,489,163
"62","MCCP01v2_0062",1,"no",NA,99.45,99.44,99.44,36.11,97.87,97.87,38.46,181,22078,22259,-1,74361,74903,543,181
"63","MCCP01v2_0063",1,"no",NA,100,98.95,92.78,29.41,35.48,32.61,29.41,96,22259,22355,-3,75199,75486,288,96
"64","MCCP01v2_0064",1,"no",NA,100,37.5,37.5,44.44,56.25,56.25,33.33,79,22355,22434,-3,75934,76170,237,79
"65","MCCP01v2_0065",1,"no",NA,99.47,99.46,98.92,37.5,93.85,93.85,44.12,187,22434,22621,3,76551,77111,561,187
"66","MCCP01v2_0066",1,"no",NA,100,48,48,50,54.55,54.55,74.19,36,22621,22657,3,77388,77495,108,36
"67","MCCP01v2_0067",1,"yes",NA,100,100,100,46.43,97.9,97.9,39.29,144,22657,22801,2,77789,78220,432,144
"68","MCCP01v2_0068",1,"yes",NA,99.59,100,99.58,71.43,97.92,97.92,42.42,241,22801,23042,2,78347,79069,723,241
"69","MCCP01v2_0069",1,"no",NA,100,100,99.35,62.82,28.57,28.57,31.58,157,23042,23199,2,79091,79561,471,157
"70","MCCP01v2_0070",1,"no",NA,100,100,100,62.59,93.9,62.24,62.24,296,23199,23495,-3,81610,82497,888,296
"71","MCCP01v2_0071",1,"no",NA,97.5,100,100,68.57,94.52,94.52,63.51,80,23495,23575,-3,82672,82911,240,80
"72","MCCP01v2_0072",3,"no",2,100,100,100,97.8,97.8,96.05,98.91,92,23575,23667,2,83285,83560,276,92
"73","MCCP01v2_0073",3,"no",10,100,100,99.45,98.4,91.85,91.85,88.83,189,23667,23856,3,83550,84116,567,189
"74","MCCP01v2_0074",3,"no",NA,99.59,100,100,97.41,91.38,91.38,91.38,243,23856,24099,-2,84200,84928,729,243
"75","MCCP01v2_0075",4,"no",NA,100,100,98.59,100,100,100,93.06,72,24099,24171,-3,84928,85143,216,72
"76","MCCP01v2_0076",3,"no",5,100,100,99.57,98.08,94.44,94.44,72.86,469,24171,24640,-2,85136,86542,1407,469
"77","MCCP01v2_0077",3,"no",2,100,100,100,97.73,96.21,96.21,86.47,133,24640,24773,-1,86544,86942,399,133
"78","MCCP01v2_0078",2,"no",12,100,100,100,89.64,95.43,95.43,65.18,357,24773,25130,-2,86954,88024,1071,357
"79","MCCP01v2_0079",3,"no",13,100,100,100,97.23,98.96,99.28,96.9,290,25130,25420,-3,88051,88920,870,290
"80","MCCP01v2_0080",3,"no",8,99.6,100,99.2,98,92.4,92.4,85.94,251,25420,25671,-2,88913,89665,753,251
"81","MCCP01v2_0081",3,"no",2,99.81,100,99.81,98.28,95.23,96.26,24.02,525,25671,26196,3,90225,91799,1575,525
"82","MCCP01v2_0082",3,"no",2,99.32,100,99.66,98.97,95.55,95.55,82.94,293,26196,26489,2,91802,92680,879,293
"83","MCCP01v2_0083",4,"no",7,100,99.29,99.29,99.3,98.59,99.22,97.2,143,26489,26632,2,92882,93310,429,143
"84","MCCP01v2_0084",4,"no",14,100,100,100,100,97.79,97.79,97.36,227,26632,26859,1,93310,93990,681,227
"85","MCCP01v2_0085",4,"no",11,99.4,100,100,100,98.18,98.18,98.8,166,26859,27025,1,94222,94719,498,166
"86","MCCP01v2_0086",3,"no",9,100,100,100,99.18,97.54,97.54,96.75,123,27025,27148,1,94786,95154,369,123
"87","MCCP01v2_0087",4,"no",6,100,100,99.74,99.23,95.13,95.13,76.02,391,27148,27539,3,95325,96497,1173,391
"88","MCCP01v2_0088",4,"no",70,100,99.92,100,99.61,98.14,98.14,96.89,1288,27539,28827,1,96487,100350,3864,1288
"89","MCCP01v2_0089",4,"no",78,99.84,99.76,100,99.68,98.8,98.8,97.45,1256,28827,30083,3,100362,104129,3768,1256
"90","MCCP01v2_0090",2,"yes",NA,99.69,99.38,98.94,93.87,59.67,61.77,74.23,327,30083,30410,1,104605,105585,981,327
"91","MCCP01v2_0091",3,"yes",NA,100,100,100,97.03,90.1,90.1,90,102,30410,30512,1,106099,106404,306,102
"92","MCCP01v2_0092",3,"no",NA,100,100,100,96.94,94.9,94.9,94.95,99,30512,30611,-2,106418,106714,297,99
"93","MCCP01v2_0093",3,"no",12,100,100,100,97.28,98.64,98.64,91.22,148,30611,30759,2,106793,107236,444,148
"94","MCCP01v2_0094",4,"no",26,99.52,100,99.76,99.76,99.76,99.76,96.38,414,30759,31173,3,107220,108461,1242,414
"95","MCCP01v2_0095",3,"no",21,100,100,100,98.55,97.58,97.58,94.23,208,31173,31381,1,108562,109185,624,208
"96","MCCP01v2_0096",3,"no",NA,100,100,100,97.73,95.89,95.4,93.23,133,31381,31514,2,109325,109723,399,133
"97","MCCP01v2_0097",3,"no",NA,99.65,100,99.65,98.6,97.55,97.55,96.15,287,31514,31801,1,109723,110583,861,287
"98","MCCP01v2_0098",3,"no",1,100,100,100,99.01,100,100,96.08,102,31801,31903,3,110622,110927,306,102
"99","MCCP01v2_0099",3,"no",8,99.45,99.44,98.89,97.79,97.24,97.24,91.76,182,31903,32085,3,110955,111500,546,182
"100","MCCP01v2_0100",4,"no",3,100,100,100,99.45,98.34,98.34,90.11,182,32085,32267,1,111502,112047,546,182
"101","MCCP01v2_0101",4,"no",14,100,100,99.81,99.81,99.81,99.62,92.59,526,32267,32793,3,112059,113636,1578,526
"102","MCCP01v2_0102",4,"no",6,100,100,100,99.64,97.14,97.14,84.7,281,32793,33074,1,113638,114480,843,281
"103","MCCP01v2_0103",4,"no",28,99.58,100,100,99.37,98.95,98.95,95.15,477,33074,33551,3,114489,115919,1431,477
"104","MCCP01v2_0104",4,"no",4,100,100,100,100,97.98,97.98,85.71,100,33551,33651,2,115919,116218,300,100
"105","MCCP01v2_0105",4,"no",1,100,100,99.5,99.26,91.07,91.07,70.03,404,33651,34055,-1,116277,117488,1212,404
"106","MCCP01v2_0106",3,"no",9,99.89,100,100,99.04,98.62,98.62,94.06,943,34055,34998,2,117827,120655,2829,943
"107","MCCP01v2_0107",2,"no",NA,63.64,63.64,63.64,93.18,65.63,65.63,63.64,50,34998,35048,-3,121153,121302,150,50
"108","MCCP01v2_0108",3,"yes",NA,100,100,100,98.67,23.76,23.76,29.17,163,35048,35211,2,121490,121978,489,163
"109","MCCP01v2_0109",3,"yes",NA,99.58,100,99.58,98.33,23.53,23.53,23.53,240,35211,35451,1,121981,122700,720,240
"110","MCCP01v2_0110",4,"no",NA,99.68,99.63,99.68,99.36,35.53,35.53,93.59,313,35451,35764,3,122718,123656,939,313
"111","MCCP01v2_0111",3,"yes",NA,99.56,99.56,99.12,99.03,48.51,48.51,52.35,227,35764,35991,2,123716,124396,681,227
"112","MCCP01v2_0112",3,"yes",NA,98.68,98.67,98.44,97.35,50.26,50.26,48.7,228,35991,36219,3,124386,125069,684,228
"113","MCCP01v2_0113",3,"yes",NA,99.21,46.24,99.19,97.75,46.81,46.81,46.81,127,36219,36346,1,124957,125337,381,127
"114","MCCP01v2_0114",1,"yes",NA,100,100,100,36.54,97.2,97.2,92.06,214,36346,36560,-3,125827,126468,642,214
"115","MCCP01v2_0115",1,"yes",1,96.67,100,96.67,57.14,91.67,91.67,89.47,62,36560,36622,-1,126462,126647,186,62
"116","MCCP01v2_0116",3,"no",15,99.2,100,98.83,97.87,97.87,97.87,91.22,376,36622,36998,-3,126739,127866,1128,376
"117","MCCP01v2_0117",2,"no",23,99.73,99.86,99.59,96.87,97.41,97.41,85.82,734,36998,37732,-3,127981,130182,2202,734
"118","MCCP01v2_0118",3,"no",2,100,100,100,98.09,92.99,92.99,62.18,168,37732,37900,-2,130589,131092,504,168
"119","MCCP01v2_0119",3,"no",4,100,100,100,98.65,97.97,97.97,98.66,149,37900,38049,-3,131092,131538,447,149
"120","MCCP01v2_0120",3,"no",21,100,100,99.86,99.15,96.73,96.73,97.3,705,38049,38754,-3,131548,133662,2115,705
"121","MCCP01v2_0121",4,"no",NA,100,100,100,100,98.94,98.94,100,95,38754,38849,-1,133698,133982,285,95
"122","MCCP01v2_0122",3,"no",12,99.41,100,99.41,99.12,98.53,98.53,95.88,340,38849,39189,1,134236,135255,1020,340
"123","MCCP01v2_0123",4,"no",7,100,100,100,99.36,98.73,98.73,94.94,158,39189,39347,1,135265,135738,474,158
"124","MCCP01v2_0124",3,"no",37,99.72,100,99.72,98.75,98.33,98.33,97.5,721,39347,40068,2,135725,137887,2163,721
"125","MCCP01v2_0125",3,"no",19,99.42,99.71,99.42,98.84,97.97,98.26,96.52,345,40068,40413,2,138170,139204,1035,345
"126","MCCP01v2_0126",3,"no",8,100,100,99.46,98.92,96.77,97.31,86.1,187,40413,40600,2,139511,140071,561,187
"127","MCCP01v2_0127",4,"no",9,100,100,100,99.32,97.28,97.28,93.24,148,40600,40748,3,140214,140657,444,148
"128","MCCP01v2_0128",4,"no",26,100,100,99.77,99.77,98.42,98.42,91.65,443,40748,41191,1,140659,141987,1329,443
"129","MCCP01v2_0129",2,"no",32,100,100,100,96.67,95.56,95.56,71.66,429,41191,41620,3,142053,143339,1287,429
"130","MCCP01v2_0130",3,"no",2,100,100,100,99.03,97.4,97.4,92.23,309,41620,41929,3,143466,144392,927,309
"131","MCCP01v2_0131",3,"no",7,99.77,100,100,98.19,94.1,94.1,87.1,442,41929,42371,2,144401,145726,1326,442
"132","MCCP01v2_0132",3,"no",8,100,100,100,98.77,97.13,97.13,90.61,245,42371,42616,3,145728,146462,735,245
"133","MCCP01v2_0133",4,"no",2,100,100,100,100,100,43.75,98.15,54,42616,42670,3,146523,146684,162,54
"134","MCCP01v2_0134",3,"no",1,100,100,100,98.08,96.15,97.12,86.24,105,42670,42775,2,146684,146998,315,105
"135","MCCP01v2_0135",4,"no",14,99.08,100,100,100,99.07,99.07,88.84,215,42775,42990,3,147015,147659,645,215
"136","MCCP01v2_0136",2,"no",NA,99.75,99.9,99.69,96.34,83.02,81.75,73.36,1966,42990,44956,2,148106,154003,5898,1966
"137","MCCP01v2_0137",3,"no",NA,99.8,99.9,99.9,98.78,86.51,85.55,86.32,985,44956,45941,1,154012,156966,2955,985
"138","MCCP01v2_0138",4,"no",NA,100,100,99.72,99.44,94.96,94.96,94.69,358,45941,46299,3,156966,158039,1074,358
"139","MCCP01v2_0139",3,"no",NA,100,100,100,99.11,94.05,93.75,94.66,337,46299,46636,1,158041,159051,1011,337
"140","MCCP01v2_0140",3,"no",NA,100,100,99.79,98.69,89.31,89.31,89.73,481,46636,47117,1,159061,160503,1443,481
"141","MCCP01v2_0141",4,"no",2,100,100,99.77,99.28,88.69,88.69,87.67,443,47117,47560,1,160504,161832,1329,443
"142","MCCP01v2_0142",2,"no",5,100,100,100,95.77,91.55,91.55,73.91,143,47560,47703,-3,161863,162291,429,143
"143","MCCP01v2_0143",3,"no",2,99.6,99.2,100,98.8,95.62,95.62,87.9,253,47703,47956,1,162361,163119,759,253
"144","MCCP01v2_0144",4,"yes",NA,100,100,100,100,96.83,96.83,96.83,196,47956,48152,1,163162,163749,588,196
"145","MCCP01v2_0145",2,"yes",NA,100,98.95,100,96.81,96.81,96.81,93.62,97,48152,48249,3,163809,164099,291,97
"146","MCCP01v2_0146",2,"yes",NA,100,28.07,28.07,92.86,94.64,94.64,94.64,70,48249,48319,1,164107,164316,210,70
"147","MCCP01v2_0147",3,"yes",NA,100,100,99.3,98.54,96.35,97.08,91.97,144,48319,48463,2,164246,164677,432,144
"148","MCCP01v2_0148",3,"yes",NA,100,99.54,99.54,97.26,99.09,99.09,89.55,220,48463,48683,-1,164751,165410,660,220
"149","MCCP01v2_0149",4,"yes",NA,100,100,100,100,97.14,100,88.57,41,48683,48724,-3,165424,165546,123,41
"150","MCCP01v2_0150",3,"yes",NA,100,100,100,98.59,97.18,97.18,94.37,78,48724,48802,3,165732,165965,234,78
"151","MCCP01v2_0151",2,"yes",NA,97.18,99.46,97.84,96.13,95.58,95.58,93.37,188,48802,48990,1,165931,166494,564,188
"152","MCCP01v2_0152",4,"yes",NA,100,100,100,100,99.3,99.3,92.36,144,48990,49134,3,166527,166958,432,144
"153","MCCP01v2_0153",3,"no",4,99.81,99.81,99.81,98.87,97.91,97.53,93.73,530,49134,49664,3,167175,168764,1590,530
"154","MCCP01v2_0154",3,"no",3,99.65,100,100,98.95,84.27,84.27,84.62,288,49664,49952,1,168769,169632,864,288
"155","MCCP01v2_0155",3,"no",NA,99.61,99.61,99.61,98.43,98.04,98.04,34.84,256,49952,50208,1,169828,170595,768,256
"156","MCCP01v2_0156",4,"no",23,100,100,100,99.46,99.46,99.29,85.36,561,50208,50769,1,170599,172281,1683,561
"157","MCCP01v2_0157",3,"no",26,99.79,100,99.79,98.55,98.34,98.34,96.9,484,50769,51253,2,172412,173863,1452,484
"158","MCCP01v2_0158",1,"no",3,100,100,98.51,32.08,96.02,96.02,88.56,403,51253,51656,1,173866,175074,1209,403
"159","MCCP01v2_0159",3,"no",7,100,100,99.31,98.62,93.79,93.79,86.3,146,51656,51802,1,175105,175542,438,146
"160","MCCP01v2_0160",4,"no",32,99.81,100,99.81,99.62,99.06,99.06,95.68,533,51802,52335,3,175635,177233,1599,533
"161","MCCP01v2_0161",1,"no",NA,100,100,100,61.7,64.92,70.59,56.44,324,52335,52659,3,177378,178349,972,324
"162","MCCP01v2_0162",2,"yes",NA,100,100,99.51,92.23,77.18,77.18,63.77,207,52659,52866,3,178689,179309,621,207
"163","MCCP01v2_0163",4,"no",15,100,100,100,99.66,97.97,98.13,93.62,323,52866,53189,2,179387,180355,969,323
"164","MCCP01v2_0164",3,"yes",NA,99.55,100,98.8,97.74,94.09,94.09,94.47,222,53189,53411,-3,180568,181233,666,222
"165","MCCP01v2_0165",3,"yes",NA,99.63,100,99.63,98.14,96.65,97.4,98.14,270,53411,53681,-3,181252,182061,810,270
"166","MCCP01v2_0166",3,"no",5,98.85,99.79,100,98.34,97.31,97.31,68.65,488,53681,54169,2,182270,183733,1464,488
"167","MCCP01v2_0167",4,"no",14,99.58,100,100,99.57,98.72,98.72,96.15,236,54169,54405,2,183815,184522,708,236
"168","MCCP01v2_0168",3,"no",4,100,100,98.91,98.91,96.74,96.74,91.4,93,54405,54498,2,184658,184936,279,93
"169","MCCP01v2_0169",4,"no",6,100,100,99.84,99.38,95.95,95.95,67.65,643,54498,55141,1,185011,186939,1929,643
"170","MCCP01v2_0170",3,"no",7,99.68,100,100,98.73,95.57,95.57,94.29,317,55141,55458,1,186949,187899,951,317
"171","MCCP01v2_0171",4,"no",8,100,100,100,99.52,98.56,98.56,93.33,210,55458,55668,3,187902,188531,630,210
"172","MCCP01v2_0172",4,"no",14,99.73,100,100,99.72,99.45,99.45,97.53,364,55668,56032,2,188534,189625,1092,364
"173","MCCP01v2_0173",3,"no",NA,100,100,99.64,98.51,95.39,95.39,84.45,283,56032,56315,3,189618,190466,849,283
"174","MCCP01v2_0174",3,"no",3,99.8,99.8,99.8,98.37,94.69,94.69,82.69,491,56315,56806,2,190475,191947,1473,491
"175","MCCP01v2_0175",3,"no",4,100,100,100,98.19,89.76,89.76,81.44,167,56806,56973,1,191956,192456,501,167
"176","MCCP01v2_0176",4,"no",18,100,100,100,99.67,97.37,97.7,96.07,305,56973,57278,2,192563,193477,915,305
"177","MCCP01v2_0177",3,"no",3,100,100,100,97.87,94.47,94.04,82.2,236,57278,57514,1,193597,194304,708,236
"178","MCCP01v2_0178",4,"no",1,100,100,100,99.21,97.25,97.25,88.63,510,57514,58024,3,194304,195833,1530,510
"179","MCCP01v2_0179",4,"no",7,99.29,100,100,99.28,99.28,99.28,98.57,140,58024,58164,1,195958,196377,420,140
"180","MCCP01v2_0180",4,"no",13,100,100,99.35,100,99.35,99.35,100,156,58164,58320,3,196470,196937,468,156
"181","MCCP01v2_0181",4,"no",39,99.71,100,99.71,99.42,99.27,99.27,98.41,690,58320,59010,2,196964,199033,2070,690
"182","MCCP01v2_0182",4,"no",31,100,100,100,100,100,100,100,396,59010,59406,1,199165,200352,1188,396
"183","MCCP01v2_0183",2,"yes",NA,99.28,99.64,98.94,95.99,97.74,98.12,89.78,276,59406,59682,1,200554,201381,828,276
"184","MCCP01v2_0184",3,"yes",NA,99.34,99.34,99.57,97.68,98.01,98.01,86.22,303,59682,59985,3,201408,202316,909,303
"185","MCCP01v2_0185",2,"no",NA,99.6,100,99.73,96.03,96.82,96.82,88.33,756,59985,60741,1,202300,204567,2268,756
"186","MCCP01v2_0186",4,"no",29,99.78,100,99.78,99.56,98.67,98.67,96.02,452,60741,61193,1,204754,206109,1356,452
"187","MCCP01v2_0187",1,"no",NA,99.23,100,98.08,46.2,81.65,79.5,59.81,390,61193,61583,-1,206427,207596,1170,390
"188","MCCP01v2_0188",3,"no",70,99.55,100,100,97.66,95.2,95.31,96.1,897,61583,62480,-2,207803,210493,2691,897
"189","MCCP01v2_0189",3,"no",NA,100,100,100,98.78,95.12,95.12,87.27,165,62480,62645,-1,210564,211058,495,165
"190","MCCP01v2_0190",1,"no",NA,35.9,37.5,35.9,34.78,39.53,39.53,35.09,65,62645,62710,3,211053,211247,195,65
"191","MCCP01v2_0191",4,"no",8,100,100,100,99.28,95.17,94.93,95.18,415,62710,63125,3,211275,212519,1245,415
"192","MCCP01v2_0192",4,"no",8,100,100,100,99.7,96.43,96.43,94.96,337,63125,63462,3,212535,213545,1011,337
"193","MCCP01v2_0193",3,"no",23,100,100,100,98.41,93.29,93.29,94.18,567,63462,64029,1,213559,215259,1701,567
"194","MCCP01v2_0194",3,"no",37,99.84,100,100,98.72,93.73,93.65,92.9,626,64029,64655,2,215261,217138,1878,626
"195","MCCP01v2_0195",2,"no",48,99.9,100,100,90.51,73.2,73.29,79.08,1028,64655,65683,3,217155,220238,3084,1028
"196","MCCP01v2_0196",1,"no",NA,100,100,99.19,45,35.66,42.86,46.43,126,65683,65809,3,220341,220718,378,126
"197","MCCP01v2_0197",1,"yes",NA,100,99.57,99.57,38.89,25.15,25.15,25.82,233,65809,66042,1,220906,221604,699,233
"198","MCCP01v2_0198",1,"yes",NA,100,100,98.15,56.6,71.7,73.58,81.82,59,66042,66101,-3,221761,221937,177,59
"199","MCCP01v2_0199",1,"yes",NA,100,100,99.64,53.07,54.91,52.11,87.1,280,66101,66381,-3,222220,223059,840,280
"200","MCCP01v2_0200",1,"no",10,100,100,100,27.4,94.88,94.88,92.52,294,66381,66675,3,223491,224372,882,294
"201","MCCP01v2_0201",1,"no",13,100,100,99.82,37.12,96.15,96.15,50.1,547,66675,67222,-1,224406,226046,1641,547
"202","MCCP01v2_0202",1,"no",NA,99.83,100,99.83,23.42,93.16,93.16,93,600,67222,67822,-2,226784,228583,1800,600
"203","MCCP01v2_0203",1,"yes",NA,99.52,100,100,34.55,82.93,82.93,84.06,207,67822,68029,-1,228702,229322,621,207
"204","MCCP01v2_0204",1,"no",NA,100,99.67,99.34,26.6,91.78,91.78,91.12,305,68029,68334,-2,229466,230380,915,305
"205","MCCP01v2_0205",1,"no",NA,100,37.5,37.5,50,50,50,55.56,44,68334,68378,3,230586,230717,132,44
"206","MCCP01v2_0206",1,"yes",NA,100,100,100,44.44,51.46,51.46,50.29,194,68378,68572,3,230736,231317,582,194
"207","MCCP01v2_0207",1,"yes",NA,100,100,100,34.88,47,47,48.96,98,68572,68670,1,231325,231618,294,98
"208","MCCP01v2_0208",1,"no",NA,99.65,99.65,99.29,33.98,49.82,49.82,49.82,285,68670,68955,3,231744,232598,855,285
"209","MCCP01v2_0209",1,"no",NA,100,100,100,32.65,52.05,52.05,52.07,179,68955,69134,3,232662,233198,537,179
